"Player","Pos","Age","Rk","G","MP","Team","GS","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"A.J. Green","SG",23,"383","35","345","MIL",1,53,125,0.424,44,105,0.419,9,20,0.45,0.6,4,4,1,6,39,45,22,6,0,9,31,154,"","11.5",".607",".840",".032","1.9","11.3","6.8","8.7","0.8","0.0","6.6","16.6","0.5","0.3","0.8",".111","-0.3","-0.6","-0.9","0.1"
"A.J. Lawson","SG",22,"438","1","2","MIN",0,1,1,1,0,0,NA,1,1,1,1,0,0,NA,0,1,1,0,0,0,0,1,2,"","34.4","1.000",".000",".000","0.0","54.9","27.9","0.0","0.0","0.0","0.0","21.4","0.0","0.0","0.0",".377","-2.3","7.5","5.2","0.0"
"A.J. Lawson","SG",22,"438","14","106","DAL",0,21,43,0.488,10,25,0.4,11,18,0.611,0.605,2,8,0.25,6,14,20,2,2,0,3,10,54,"","13.5",".580",".581",".186","6.5","15.5","11.0","3.0","0.9","0.0","6.1","21.1","0.1","0.1","0.1",".057","-1.5","-3.1","-4.6","-0.1"
"A.J. Lawson","SG",22,"438","15","108","TOT",0,22,44,0.5,10,25,0.4,12,19,0.632,0.614,2,8,0.25,6,15,21,2,2,0,3,11,56,"","13.9",".589",".568",".182","6.4","16.3","11.3","3.0","0.9","0.0","5.9","21.1","0.1","0.1","0.1",".063","-1.5","-2.9","-4.4","-0.1"
"Aaron Gordon","PF",27,"83","68","2055","DEN",68,429,761,0.564,60,173,0.347,369,588,0.628,0.603,191,314,0.608,164,282,446,203,54,51,98,129,1109,"","19.5",".617",".227",".413","9.4","15.4","12.5","14.2","1.3","2.2","9.8","21.1","4.6","2.2","6.8",".158","2.4","-0.3","2.1","2.1"
"Aaron Holiday","PG",26,"326","63","845","ATL",6,92,220,0.418,36,88,0.409,56,132,0.424,0.5,27,32,0.844,25,49,74,89,37,12,36,79,247,"","9.4",".528",".400",".145","3.2","6.4","4.8","13.0","2.1","1.2","13.3","13.4","0.3","0.6","0.9",".053","-2.9","0.9","-2.0","0.0"
"Aaron Nesmith","SF",23,"142","73","1816","IND",60,252,590,0.427,115,314,0.366,137,276,0.496,0.525,119,142,0.838,62,215,277,98,55,34,75,235,738,"","10.5",".566",".532",".241","3.8","13.1","8.5","7.4","1.4","1.6","10.3","16.8","0.9","1.1","2.0",".052","-2.3","-0.7","-3.0","-0.4"
"Aaron Wiggins","SG",24,"235","70","1297","OKC",14,186,363,0.512,48,122,0.393,138,241,0.573,0.579,59,71,0.831,68,142,210,80,39,15,55,110,479,"","12.2",".607",".336",".196","5.5","12.0","8.7","8.3","1.4","1.1","12.2","14.5","1.4","1.2","2.6",".097","-1.5","-0.5","-2.1","0.0"
"Admiral Schofield","PF",25,"381","37","451","ORL",0,55,122,0.451,24,74,0.324,31,48,0.646,0.549,21,23,0.913,23,39,62,31,8,5,16,61,155,"","10.1",".587",".607",".189","5.8","9.8","7.8","9.6","0.9","1.1","10.8","14.1","0.5","0.3","0.8",".089","-2.2","-0.7","-2.9","-0.1"
"AJ Griffin","SF",19,"185","72","1401","ATL",12,248,533,0.465,101,259,0.39,147,274,0.536,0.56,42,47,0.894,37,116,153,73,42,12,42,87,639,"","12.6",".577",".486",".088","2.9","9.2","6.0","7.0","1.4","0.7","7.1","17.9","1.3","0.9","2.2",".075","-0.3","-0.5","-0.8","0.4"
"Al Horford","C",36,"193","63","1922","BOS",63,228,479,0.476,145,325,0.446,83,154,0.539,0.627,15,21,0.714,73,317,390,189,30,61,37,121,616,"","13.8",".631",".678",".044","4.2","17.7","11.1","13.2","0.8","2.7","7.0","11.9","3.6","2.7","6.3",".157","1.6","1.7","3.3","2.5"
"Alec Burks","SG",31,"175","51","1122","DET",8,200,459,0.436,99,239,0.414,101,220,0.459,0.544,153,188,0.814,19,139,158,114,38,8,58,98,652,"","16.5",".602",".521",".410","1.8","14.2","7.8","15.9","1.6","0.6","9.7","22.8","1.9","0.6","2.5",".109","1.8","-0.5","1.2","0.9"
"Aleksej Pokusevski","PF",21,"312","34","701","OKC",25,108,249,0.434,38,104,0.365,70,145,0.483,0.51,22,35,0.629,45,114,159,64,20,43,43,58,276,"","13.4",".522",".418",".141","6.8","17.8","12.2","12.4","1.4","5.7","14.0","18.3","0.0","1.0","1.0",".066","-1.0","1.0","0.0","0.3"
"Alex Caruso","PG",28,"270","67","1575","CHI",36,130,286,0.455,55,151,0.364,75,135,0.556,0.551,59,73,0.808,42,154,196,193,98,46,77,159,374,"DPOY-11","11.5",".588",".528",".255","3.1","10.9","7.1","15.4","3.0","2.8","19.5","11.1","1.0","2.6","3.6",".109","-2.2","3.3","1.1","1.2"
"Alex Len","C",29,"458","26","161","SAC",2,16,30,0.533,0,2,0,16,28,0.571,0.533,11,16,0.688,24,36,60,12,4,11,16,28,43,"","12.8",".580",".067",".533","17.2","25.4","21.3","9.3","1.2","6.0","30.2","14.1","0.1","0.2","0.3",".085","-4.9","0.9","-4.0","-0.1"
"Alize Johnson","PF",26,"516","4","30","SAS",0,3,6,0.5,0,2,0,3,4,0.75,0.5,1,2,0.5,2,8,10,1,1,0,4,3,7,"","4.3",".509",".333",".333","7.0","30.3","18.2","4.2","1.6","0.0","36.8","15.0","-0.1","0.0","-0.1","-0.099","-7.4","-1.7","-9.1","-0.1"
"Alondes Williams","SG",23,"539","1","5","BRK",0,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,1,1,0,0,0,2,1,0,"","-20.9","","","","0.0","22.0","11.2","0.0","0.0","0.0","100.0","17.7","-0.1","0.0","-0.1","-0.517","-21.3","-5.2","-26.5","0.0"
"Alperen Sengun","C",20,"84","75","2171","HOU",72,442,799,0.553,19,57,0.333,423,742,0.57,0.565,206,288,0.715,242,436,678,291,70,70,193,258,1109,"","19.7",".599",".071",".360","12.1","22.3","17.1","21.0","1.6","3.2","17.3","21.4","3.4","1.8","5.2",".115","1.1","0.4","1.4","1.9"
"Amir Coffey","SF",25,"367","50","625","LAC",9,56,145,0.386,11,40,0.275,45,105,0.429,0.424,49,63,0.778,17,36,53,53,7,5,21,50,172,"","7.0",".498",".276",".434","3.1","6.4","4.7","11.2","0.5","0.7","10.8","13.5","0.1","0.3","0.4",".033","-4.3","-0.7","-5.0","-0.5"
"Andre Drummond","C",29,"260","67","849","CHI",0,166,274,0.606,0,3,0,166,271,0.613,0.606,67,125,0.536,138,306,444,33,45,27,75,117,399,"","20.8",".606",".011",".456","18.7","40.2","29.6","5.7","2.6","3.1","18.6","21.0","0.8","2.0","2.8",".159","-1.2","0.5","-0.8","0.3"
"Andre Iguodala","PF",39,"496","8","113","GSW",0,7,15,0.467,1,9,0.111,6,6,1,0.5,2,3,0.667,3,14,17,19,4,3,9,11,17,"","7.3",".521",".600",".200","3.0","13.4","8.3","20.3","1.7","2.3","35.5","9.4","0.0","0.1","0.1",".044","-4.3","1.7","-2.5","0.0"
"Andrew Nembhard","SG",23,"149","75","2073","IND",63,284,644,0.441,92,263,0.35,192,381,0.504,0.512,49,62,0.79,35,164,199,341,70,13,126,179,709,"","10.0",".528",".408",".096","1.9","8.8","5.3","22.4","1.6","0.5","15.8","16.1","0.4","0.8","1.2",".029","-2.4","-0.8","-3.2","-0.6"
"Andrew Wiggins","SF",27,"190","37","1190","GSW",37,250,529,0.473,89,225,0.396,161,304,0.53,0.557,44,72,0.611,61,125,186,85,45,28,48,107,633,"","14.7",".564",".425",".136","5.7","11.3","8.6","10.5","1.8","2.1","7.9","21.5","1.0","1.3","2.3",".091","-0.1","-0.4","-0.5","0.5"
"Anfernee Simons","SG",23,"49","62","2171","POR",62,467,1045,0.447,212,562,0.377,255,483,0.528,0.548,160,179,0.894,18,143,161,253,42,14,128,142,1306,"","14.8",".581",".538",".171","0.9","7.6","4.3","18.6","0.9","0.6","10.2","25.1","2.1","0.3","2.5",".054","1.3","-2.5","-1.1","0.5"
"Anthony Davis","C",29,"36","56","1904","LAL",54,542,962,0.563,19,74,0.257,523,888,0.589,0.573,348,444,0.784,195,507,702,148,59,114,122,146,1451,"","27.8",".627",".077",".462","11.3","27.6","19.7","13.0","1.5","5.1","9.5","28.4","5.5","3.4","9.0",".226","4.6","1.7","6.3","4.0"
"Anthony Edwards","SG",21,"6","79","2842","MIN",79,707,1541,0.459,213,578,0.369,494,963,0.513,0.528,319,422,0.756,47,411,458,350,125,58,259,186,1946,"AS","17.4",".564",".375",".274","1.9","15.9","9.0","19.3","2.1","1.8","13.0","29.9","0.2","3.6","3.8",".064","1.0","0.0","1.0","2.1"
"Anthony Gill","PF",30,"354","59","624","WAS",8,71,132,0.538,4,29,0.138,67,103,0.65,0.553,49,67,0.731,37,62,99,34,7,12,15,70,195,"","11.1",".604",".220",".508","6.9","10.6","8.8","7.2","0.5","1.6","8.5","12.3","1.0","0.4","1.3",".101","-2.4","-0.9","-3.3","-0.2"
"Anthony Lamb","SF",25,"255","62","1195","GSW",4,148,314,0.471,73,199,0.367,75,115,0.652,0.588,46,60,0.767,56,159,215,96,28,20,54,134,415,"","10.9",".610",".634",".191","5.3","14.4","9.9","10.5","1.1","1.5","13.7","13.8","1.2","1.2","2.4",".096","-1.6","0.4","-1.1","0.3"
"Austin Reaves","SG",24,"119","64","1843","LAL",22,259,490,0.529,86,216,0.398,173,274,0.631,0.616,229,265,0.864,33,160,193,215,33,19,99,108,833,"6MOY-7","14.9",".687",".441",".541","2.0","9.0","5.6","15.7","0.8","0.9","14.0","16.2","4.1","1.4","5.4",".142","0.6","0.1","0.7","1.2"
"Austin Rivers","SG",30,"324","52","1016","MIN",10,91,209,0.435,43,123,0.35,48,86,0.558,0.538,30,39,0.769,5,78,83,75,28,4,23,80,255,"","7.4",".564",".589",".187","0.6","8.4","4.6","9.3","1.3","0.3","9.2","10.5","0.5","0.8","1.3",".061","-3.3","0.5","-2.8","-0.2"
"Ayo Dosunmu","SG",23,"162","80","2098","CHI",51,281,570,0.493,59,189,0.312,222,381,0.583,0.545,66,82,0.805,45,175,220,206,62,26,99,182,687,"","10.2",".567",".332",".144","2.5","9.3","5.9","13.2","1.4","1.2","14.0","14.9","0.7","2.2","2.9",".067","-3.0","0.6","-2.5","-0.2"
"Bam Adebayo","C",25,"27","75","2598","MIA",75,602,1114,0.54,1,12,0.083,601,1102,0.545,0.541,324,402,0.806,184,504,688,240,88,61,187,208,1529,"DPOY-5,AS","20.1",".592",".011",".361","8.0","23.6","15.5","15.9","1.7","2.4","12.7","25.2","3.6","3.8","7.4",".137","0.8","0.8","1.5","2.3"
"Ben Simmons","PG",26,"303","42","1105","BRK",33,133,235,0.566,0,2,0,133,233,0.571,0.566,25,57,0.439,40,223,263,256,54,24,97,139,291,"","13.4",".559",".009",".243","4.2","22.2","13.4","31.3","2.4","1.9","27.2","14.3","0.5","1.7","2.2",".097","-2.2","2.6","0.4","0.7"
"Bennedict Mathurin","SG",20,"50","78","2222","IND",17,413,951,0.434,100,310,0.323,313,641,0.488,0.487,376,454,0.828,87,231,318,116,48,13,152,162,1302,"ROY-4,6MOY-8","13.1",".566",".326",".477","4.4","11.5","7.9","7.6","1.0","0.5","11.7","24.6","1.0","0.8","1.8",".038","-1.2","-2.5","-3.7","-1.0"
"Bismack Biyombo","C",30,"318","61","874","PHO",14,119,206,0.578,0,0,NA,119,206,0.578,0.578,25,70,0.357,89,171,260,56,18,88,51,114,263,"","14.4",".555",".000",".340","11.0","22.1","16.5","8.7","1.0","9.0","17.7","14.0","0.2","1.6","1.9",".102","-3.4","2.5","-0.9","0.2"
"Blake Griffin","C",33,"370","41","569","BOS",16,63,130,0.485,23,66,0.348,40,64,0.625,0.573,21,32,0.656,47,108,155,61,14,9,22,75,170,"","13.1",".590",".508",".246","9.2","20.4","14.9","14.2","1.2","1.4","13.2","12.7","1.0","0.8","1.8",".153","-1.4","1.5","0.1","0.3"
"Blake Wesley","SG",19,"360","37","669","SAS",1,69,215,0.321,20,52,0.385,49,163,0.301,0.367,26,44,0.591,11,70,81,99,25,5,65,67,184,"","3.5",".393",".242",".205","1.7","11.9","6.6","18.8","1.8","0.6","21.7","18.5","-1.9","0.3","-1.6","-0.114","-7.9","-1.8","-9.6","-1.3"
"Boban Marjanović","C",34,"413","31","171","HOU",0,41,60,0.683,0,1,0,41,59,0.695,0.683,20,27,0.741,20,40,60,9,5,2,14,10,102,"","23.4",".710",".017",".450","12.7","26.0","19.3","8.7","1.4","1.1","16.3","20.8","0.4","0.1","0.6",".158","3.0","-1.5","1.6","0.2"
"Bobby Portis","PF",27,"100","70","1818","MIL",22,398,803,0.496,95,257,0.37,303,546,0.555,0.555,96,125,0.768,154,518,672,105,29,16,81,115,987,"6MOY-3","17.8",".575",".320",".156","9.2","28.6","19.3","8.7","0.8","0.7","8.6","21.7","2.5","2.8","5.3",".139","1.2","-0.6","0.7","1.2"
"Bogdan Bogdanović","SG",30,"137","54","1508","ATL",9,273,611,0.447,146,360,0.406,127,251,0.506,0.566,64,77,0.831,23,142,165,150,43,18,65,86,756,"","14.2",".586",".589",".126","1.6","10.4","6.0","13.4","1.4","1.0","9.2","19.8","1.8","1.0","2.8",".088","1.1","-0.7","0.5","0.9"
"Bojan Bogdanović","PF",33,"55","59","1893","DET",59,430,882,0.488,145,353,0.411,285,529,0.539,0.57,268,303,0.884,36,187,223,152,34,8,135,113,1273,"","17.4",".627",".400",".344","2.0","11.3","6.5","13.6","0.9","0.4","11.7","25.9","3.1","0.4","3.5",".090","2.6","-1.8","0.8","1.4"
"Bol Bol","PF",23,"189","70","1505","ORL",33,261,478,0.546,30,113,0.265,231,365,0.633,0.577,82,108,0.759,69,336,405,69,30,85,112,92,634,"","14.4",".603",".236",".226","5.2","25.3","15.2","6.9","1.0","5.5","17.6","18.2","0.0","2.2","2.3",".072","-1.8","0.9","-0.9","0.4"
"Bones Hyland","PG",22,"171","14","265","LAC",0,55,137,0.401,26,74,0.351,29,63,0.46,0.496,15,20,0.75,10,39,49,47,11,2,15,30,151,"","16.4",".518",".540",".146","4.3","16.3","10.4","27.6","2.0","0.7","9.3","26.5","0.2","0.3","0.5",".094","-0.2","-0.7","-0.9","0.1"
"Bones Hyland","PG",22,"171","42","820","DEN",1,173,434,0.399,91,241,0.378,82,193,0.425,0.503,71,82,0.866,10,76,86,125,28,13,67,66,508,"","14.5",".540",".555",".189","1.4","10.4","6.0","22.0","1.7","1.4","12.5","28.5","0.1","0.8","0.9",".051","0.6","-1.4","-0.8","0.3"
"Bones Hyland","PG",22,"171","56","1085","TOT",1,228,571,0.399,117,315,0.371,111,256,0.434,0.502,86,102,0.843,20,115,135,172,39,15,82,96,659,"","14.9",".535",".552",".179","2.1","11.8","7.1","23.4","1.8","1.2","11.7","28.0","0.3","1.1","1.4",".062","0.4","-1.2","-0.8","0.3"
"Bradley Beal","SG",29,"70","50","1673","WAS",50,444,878,0.506,80,219,0.365,364,659,0.552,0.551,192,228,0.842,41,155,196,271,45,33,145,107,1160,"","19.7",".593",".249",".260","2.8","9.9","6.5","26.6","1.3","1.7","12.9","29.2","2.2","1.2","3.4",".099","2.9","-1.2","1.8","1.6"
"Brandon Boston Jr.","SF",21,"388","22","248","LAC",1,51,122,0.418,12,29,0.414,39,93,0.419,0.467,29,38,0.763,7,23,30,20,9,0,12,21,143,"","13.4",".515",".238",".311","3.2","10.3","6.8","12.5","1.8","0.0","8.0","26.5","0.0","0.2","0.2",".040","-1.5","-0.7","-2.2","0.0"
"Brandon Clarke","PF",26,"209","56","1090","MEM",8,229,349,0.656,1,6,0.167,228,343,0.665,0.658,99,137,0.723,92,218,310,72,34,37,55,131,558,"","20.0",".682",".017",".393","9.0","21.2","15.1","9.5","1.5","3.1","11.8","17.7","2.7","1.8","4.5",".199","0.8","1.8","2.5","1.3"
"Brandon Ingram","SF",25,"82","45","1538","NOP",45,404,835,0.484,64,164,0.39,340,671,0.507,0.522,240,272,0.882,23,223,246,262,32,19,148,116,1112,"","19.2",".582",".196",".326","1.7","16.4","9.1","28.1","1.0","1.2","13.4","30.8","1.8","1.7","3.5",".108","2.2","-0.4","1.7","1.5"
"Braxton Key","SF",25,"525","3","9","DET",0,1,1,1,0,0,NA,1,1,1,1,2,2,1,0,1,1,0,0,0,0,0,4,"","18.6","1.064",".000","2.000","0.0","12.7","6.2","0.0","0.0","0.0","0.0","8.9","0.0","0.0","0.0",".242","2.1","0.8","2.9","0.0"
