"Player","Pos","Age","Rk","G","MP","Team","GS","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"Luguentz Dort","SF",23,"97","74","2272","OKC",73,339,873,0.388,135,409,0.33,204,464,0.44,0.466,200,259,0.772,128,216,344,154,75,23,92,243,1013,"","11.3",".513",".468",".297","5.9","10.4","8.1","9.2","1.6","0.9","8.5","19.8","0.9","2.1","2.9",".062","-2.0","-1.0","-3.0","-0.6"
"Luka Dončić","PG",23,"3","66","2391","DAL",66,719,1449,0.496,185,541,0.342,534,908,0.588,0.56,515,694,0.742,54,515,569,529,90,33,236,166,2138,"MVP-8,CPOY-8,AS,NBA1","28.7",".609",".373",".479","2.6","25.4","13.8","42.3","1.9","1.2","11.9","37.6","7.3","2.9","10.2",".204","7.6","1.4","8.9","6.6"
"Luka Garza","C",24,"363","28","243","MIN",0,63,116,0.543,14,39,0.359,49,77,0.636,0.603,41,52,0.788,33,30,63,18,3,2,14,43,181,"","23.0",".652",".336",".448","15.5","13.5","14.5","11.8","0.6","0.7","9.2","26.9","0.9","0.2","1.1",".211","2.2","-2.6","-0.4","0.1"
"Luka Šamanić","PF",23,"431","7","161","UTA",4,26,57,0.456,8,31,0.258,18,26,0.692,0.526,9,13,0.692,0,30,30,15,6,2,10,17,69,"","11.0",".550",".544",".228","0.0","19.9","10.1","13.0","1.8","1.1","13.8","18.9","0.0","0.2","0.2",".045","-3.2","1.1","-2.1","0.0"
"Luke Kennard","SG",26,"213","24","590","MEM",3,90,171,0.526,74,137,0.54,16,34,0.471,0.743,18,19,0.947,9,66,75,54,13,1,16,35,272,"","16.0",".758",".801",".111","1.6","11.8","6.7","12.1","1.0","0.2","8.2","13.7","1.7","0.6","2.3",".189","3.0","-0.2","2.9","0.7"
"Luke Kennard","SG",26,"213","35","725","LAC",11,98,211,0.464,59,132,0.447,39,79,0.494,0.604,19,20,0.95,6,77,83,37,19,4,30,47,274,"","10.5",".623",".626",".095","0.9","11.8","6.4","7.1","1.3","0.5","12.0","15.0","0.5","0.6","1.1",".070","-1.4","0.0","-1.4","0.1"
"Luke Kennard","SG",26,"213","59","1315","TOT",14,188,382,0.492,133,269,0.494,55,113,0.487,0.666,37,39,0.949,15,143,158,91,32,5,46,82,546,"","13.0",".684",".704",".102","1.2","11.8","6.6","9.4","1.2","0.3","10.3","14.5","2.2","1.2","3.4",".124","0.6","-0.1","0.5","0.8"
"Luke Kornet","C",27,"322","69","804","BOS",0,113,170,0.665,3,13,0.231,110,157,0.701,0.674,32,39,0.821,86,111,197,53,11,46,25,81,261,"","16.7",".697",".076",".229","11.9","14.8","13.4","9.1","0.7","4.9","11.8","11.5","2.1","1.2","3.3",".198","-0.4","1.3","1.0","0.6"
"Mac McClung","SG",24,"477","2","41","PHI",0,9,20,0.45,4,11,0.364,5,9,0.556,0.55,3,5,0.6,3,7,10,9,0,0,3,3,25,"","19.2",".563",".550",".250","8.8","19.8","14.4","35.3","0.0","0.0","11.9","27.5","0.1","0.0","0.1",".140","2.2","-1.7","0.5","0.0"
"Malachi Flynn","PG",24,"327","53","691","TOR",2,87,242,0.36,47,133,0.353,40,109,0.367,0.457,25,33,0.758,15,61,76,70,21,4,25,65,246,"","8.7",".479",".550",".136","2.3","10.8","6.2","13.7","1.5","0.6","8.9","17.4","0.0","0.5","0.5",".034","-3.3","-0.8","-4.1","-0.4"
"Malaki Branham","SG",19,"167","66","1550","SAS",32,269,611,0.44,77,255,0.302,192,356,0.539,0.503,58,70,0.829,28,153,181,127,33,7,76,115,673,"","9.5",".524",".417",".115","1.9","11.2","6.4","11.4","1.0","0.4","10.6","19.1","-0.4","0.2","-0.1","-0.004","-3.0","-2.1","-5.2","-1.3"
"Malcolm Brogdon","PG",30,"99","67","1744","BOS",0,354,732,0.484,132,297,0.444,222,435,0.51,0.574,160,184,0.87,42,238,280,248,45,18,98,109,1000,"6MOY-1","18.2",".615",".406",".251","2.7","14.7","8.8","21.5","1.3","0.9","10.8","22.8","3.6","2.2","5.8",".161","2.3","0.6","2.8","2.1"
"Malcolm Hill","SF",27,"522","5","9","CHI",0,2,4,0.5,1,3,0.333,1,1,1,0.625,0,0,NA,0,3,3,0,0,0,0,1,5,"","15.4",".625",".750",".000","0.0","37.2","18.9","0.0","0.0","0.0","0.0","19.7","0.0","0.0","0.0",".125","1.6","0.8","2.4","0.0"
"Malik Beasley","SG",26,"93","26","621","LAL",14,105,268,0.392,66,187,0.353,39,81,0.481,0.515,13,21,0.619,8,78,86,31,21,1,30,32,289,"","9.7",".521",".698",".078","1.4","13.0","7.4","7.0","1.6","0.1","9.8","20.9","-0.5","0.6","0.2",".012","-2.3","-0.6","-2.9","-0.1"
