"Player","Pos","Age","Rk","G","MP","Team","GS","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"Alexey Shved","SG",24,"160","77","1840","MIN",16,236,635,0.372,85,288,0.295,151,347,0.435,0.439,108,150,0.72,41,134,175,286,54,27,147,117,665,"","11.0",".474",".454",".236","2.5","8.6","5.4","25.2","1.5","1.1","17.3","20.6","-0.6","1.4","0.8",".020","-1.1","-0.6","-1.7","0.1"
"Alonzo Gee","SF",25,"105","82","2541","CLE",82,305,744,0.41,69,219,0.315,236,525,0.45,0.456,163,205,0.795,75,245,320,133,107,29,132,199,842,"","10.5",".505",".294",".276","3.3","11.7","7.3","8.2","2.2","0.9","13.7","16.9","0.5","1.5","1.9",".036","-2.2","-0.3","-2.6","-0.4"
"Amar'e Stoudemire","PF",30,"230","29","682","NYK",0,154,267,0.577,0,0,NA,154,267,0.577,0.577,105,130,0.808,60,85,145,13,10,21,50,89,413,"","22.1",".637",".000",".487","10.0","15.1","12.4","3.6","0.8","2.7","13.4","25.7","2.1","0.6","2.7",".191","1.6","-0.9","0.7","0.5"
"Amir Johnson","PF",25,"116","81","2325","TOR",38,336,606,0.554,5,13,0.385,331,593,0.558,0.559,136,187,0.727,227,384,611,122,81,110,117,301,813,"","17.3",".591",".021",".309","11.4","20.0","15.6","8.7","1.8","3.8","14.5","16.1","4.4","2.9","7.3",".151","0.0","1.0","1.0","1.8"
"Anderson Varejão","C",30,"254","25","901","CLE",25,138,289,0.478,0,5,0,138,284,0.486,0.478,77,102,0.755,138,223,361,84,37,14,44,68,353,"","21.7",".529",".017",".353","16.9","30.1","23.2","15.4","2.1","1.3","11.6","18.7","2.2","1.1","3.3",".173","3.8","-0.1","3.7","1.3"
"Andray Blatche","C",26,"104","82","1555","BRK",8,346,676,0.512,3,22,0.136,343,654,0.524,0.514,148,216,0.685,161,256,417,85,86,54,123,163,843,"","21.9",".547",".033",".320","12.2","19.6","15.8","10.5","3.0","2.7","13.8","26.5","2.4","2.5","4.9",".153","1.3","0.9","2.2","1.6"
"Andre Drummond","C",19,"208","60","1243","DET",10,208,342,0.608,1,2,0.5,207,340,0.609,0.61,59,159,0.371,169,288,457,30,59,95,57,144,476,"ROY-4","21.6",".578",".006",".465","15.4","27.2","21.2","4.1","2.5","6.1","12.2","17.2","2.2","2.3","4.5",".172","1.0","1.5","2.5","1.4"
"Andre Iguodala","SG",29,"67","80","2779","DEN",80,396,879,0.451,91,287,0.317,305,592,0.515,0.502,155,270,0.574,82,341,423,433,139,52,206,127,1038,"DPOY-9","15.2",".520",".327",".307","3.4","13.5","8.5","22.4","2.5","1.5","17.1","18.8","2.4","3.2","5.6",".097","1.2","1.4","2.6","3.3"
"Andre Miller","PG",36,"122","82","2151","DEN",11,303,632,0.479,17,64,0.266,286,568,0.504,0.493,163,194,0.84,60,178,238,484,73,11,172,159,786,"6MOY-6","15.7",".548",".101",".307","3.2","9.1","6.2","32.2","1.7","0.4","19.3","17.9","3.9","1.5","5.4",".120","1.1","-0.2","0.9","1.6"
"Andrea Bargnani","PF",27,"222","35","1003","TOR",25,170,426,0.399,38,123,0.309,132,303,0.436,0.444,65,77,0.844,26,102,128,38,21,23,54,64,443,"","11.2",".482",".289",".181","3.0","12.3","7.6","6.6","1.1","1.8","10.5","23.8","-0.5","0.6","0.1",".007","-1.1","-1.6","-2.7","-0.2"
"Andrei Kirilenko","SF",31,"120","64","2034","MIN",64,284,560,0.507,35,120,0.292,249,440,0.566,0.538,188,250,0.752,102,260,362,177,96,62,119,82,791,"","17.6",".590",".214",".446","5.6","15.1","10.2","14.4","2.4","2.4","15.1","17.4","3.4","2.6","6.0",".142","1.8","1.8","3.5","2.9"
"Andrew Bogut","C",28,"324","32","786","GSW",32,83,184,0.451,1,1,1,82,183,0.448,0.454,19,38,0.5,68,177,245,67,20,55,35,85,186,"","13.8",".463",".005",".207","9.8","24.1","17.2","12.5","1.3","5.5","14.8","13.4","0.4","1.4","1.7",".106","-1.4","2.8","1.4","0.7"
"Andrew Goudelock","SG",24,"465","1","6","LAL",0,0,2,0,0,0,NA,0,2,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,"","-6.4",".000",".000",".000","18.9","0.0","9.2","0.0","0.0","0.0","0.0","14.8","0.0","0.0","0.0","-0.264","-9.7","-6.2","-15.9","0.0"
"Andrew Nicholson","PF",23,"181","75","1249","ORL",28,256,486,0.527,0,0,NA,256,486,0.527,0.527,75,94,0.798,69,189,258,44,24,32,79,133,587,"","15.1",".557",".000",".193","6.2","17.1","11.7","6.1","1.0","2.0","13.0","22.1","0.9","0.8","1.7",".065","-1.8","-0.9","-2.7","-0.2"
"Andris Biedriņš","C",26,"428","53","495","GSW",9,10,21,0.476,0,0,NA,10,21,0.476,0.476,4,13,0.308,34,119,153,14,15,42,14,101,24,"","7.7",".449",".000",".619","7.8","25.7","17.0","3.7","1.5","6.6","34.4","3.7","0.1","1.0","1.1",".102","-4.8","3.8","-1.0","0.1"
"Antawn Jamison","PF",36,"139","76","1636","LAL",6,267,575,0.464,84,233,0.361,183,342,0.535,0.537,94,136,0.691,109,253,362,50,30,22,53,124,712,"","15.3",".561",".405",".237","7.5","16.6","12.2","5.0","0.9","1.0","7.7","18.7","3.0","1.3","4.3",".126","1.0","-1.1","-0.1","0.8"
"Anthony Davis","PF",19,"100","64","1846","NOH",60,349,676,0.516,0,6,0,349,670,0.521,0.516,169,225,0.751,165,357,522,63,75,112,89,158,867,"ROY-2","21.7",".559",".009",".333","10.5","23.5","16.8","6.1","2.2","5.1","10.3","21.8","3.7","2.4","6.1",".159","1.8","0.7","2.5","2.1"
"Anthony Morrow","SG",27,"339","17","82","DAL",0,17,34,0.5,1,5,0.2,16,29,0.552,0.515,4,4,1,1,3,4,4,1,0,4,10,39,"","10.9",".545",".147",".118","1.4","4.0","2.7","8.3","0.6","0.0","10.1","22.1","0.0","0.0","0.0",".028","-3.3","-2.4","-5.7","-0.1"
"Anthony Morrow","SG",27,"339","24","301","ATL",1,47,111,0.423,15,38,0.395,32,73,0.438,0.491,16,18,0.889,10,16,26,9,12,1,4,33,125,"","12.3",".526",".342",".162","3.9","6.0","4.9","4.8","2.1","0.3","3.3","18.9","0.4","0.3","0.6",".100","-1.5","0.7","-0.8","0.1"
"Anthony Randolph","PF",23,"350","39","329","DEN",0,56,114,0.491,0,8,0,56,106,0.528,0.491,31,45,0.689,29,66,95,12,19,21,37,41,143,"","15.6",".534",".070",".395","10.1","22.1","16.2","5.5","2.9","5.0","21.7","22.5","-0.1","0.6","0.5",".073","-3.6","0.7","-2.9","-0.1"
"Anthony Tolliver","SF",27,"292","62","963","ATL",11,82,216,0.38,45,133,0.338,37,83,0.446,0.484,44,51,0.863,31,124,155,32,15,12,36,66,253,"","8.4",".531",".616",".236","3.7","14.5","9.2","4.8","0.8","1.0","13.1","13.2","0.3","0.9","1.2",".059","-2.5","-0.5","-3.1","-0.3"
"Arnett Moultrie","PF",22,"333","47","542","PHI",0,78,134,0.582,0,0,NA,78,134,0.582,0.582,18,28,0.643,76,69,145,10,17,10,19,43,174,"","16.7",".595",".000",".209","15.4","14.8","15.1","2.9","1.7","1.4","11.5","14.1","1.1","0.6","1.7",".149","0.0","-1.2","-1.2","0.1"
"Aron Baynes","C",26,"411","16","141","SAS",0,18,36,0.5,0,1,0,18,35,0.514,0.5,7,12,0.583,12,20,32,5,1,6,11,23,43,"","8.8",".521",".028",".333","10.4","15.5","13.1","5.2","0.4","3.1","21.0","17.1","0.0","0.2","0.1",".050","-6.4","-0.6","-7.0","-0.2"
"Arron Afflalo","SF",27,"62","64","2307","ORL",64,397,905,0.439,72,240,0.3,325,665,0.489,0.478,191,223,0.857,29,210,239,206,40,11,138,137,1057,"","13.0",".527",".265",".246","1.4","10.3","5.8","14.6","0.9","0.4","12.1","22.5","1.5","0.5","2.0",".042","-1.1","-1.8","-2.9","-0.5"
"Austin Daye","SF",24,"295","24","348","DET",0,43,97,0.443,21,40,0.525,22,57,0.386,0.552,15,18,0.833,10,53,63,21,5,8,13,43,122,"","12.6",".581",".412",".186","3.2","17.9","10.4","9.6","0.8","1.8","11.0","15.4","0.5","0.2","0.8",".108","-0.6","0.3","-0.2","0.2"
"Austin Daye","SF",24,"295","31","328","MEM",0,47,111,0.423,20,58,0.345,27,53,0.509,0.514,11,16,0.688,6,54,60,21,9,14,16,39,125,"","13.3",".529",".523",".144","2.1","19.8","10.8","10.6","1.5","3.5","11.9","18.8","0.2","0.6","0.9",".127","-0.7","1.9","1.1","0.3"
"Austin Rivers","SG",20,"244","61","1418","NOH",26,145,390,0.372,28,86,0.326,117,304,0.385,0.408,59,108,0.546,16,93,109,127,26,9,74,122,377,"","5.9",".431",".221",".277","1.3","8.0","4.6","13.9","1.0","0.5","14.5","16.8","-1.2","0.1","-1.1","-0.038","-4.7","-1.6","-6.2","-1.5"
"Avery Bradley","PG",22,"213","50","1435","BOS",50,192,478,0.402,40,126,0.317,152,352,0.432,0.444,37,49,0.755,30,81,111,104,64,19,72,129,461,"DPOY-12","8.8",".461",".264",".103","2.5","6.5","4.6","11.6","2.3","1.0","12.6","18.8","-1.3","1.6","0.4",".012","-4.0","0.3","-3.7","-0.6"
"Ben Gordon","SG",29,"106","75","1560","CHA",0,310,760,0.408,113,292,0.387,197,468,0.421,0.482,107,127,0.843,18,112,130,141,35,16,136,134,840,"","12.7",".515",".384",".167","1.3","8.5","4.8","17.6","1.2","0.8","14.3","27.8","-0.4","-0.2","-0.6","-0.018","-0.2","-3.2","-3.4","-0.6"
"Ben Hansbrough","PG",25,"405","28","200","IND",0,15,45,0.333,6,23,0.261,9,22,0.409,0.4,21,27,0.778,2,16,18,21,7,2,18,23,57,"","7.2",".501",".511",".600","1.1","8.8","5.0","16.1","1.9","0.7","24.0","17.1","-0.1","0.3","0.2",".044","-5.2","1.0","-4.2","-0.1"
"Beno Udrih","PG",30,"192","27","738","ORL",9,97,238,0.408,21,53,0.396,76,185,0.411,0.452,60,70,0.857,17,46,63,164,25,1,55,51,275,"","14.9",".512",".223",".294","2.6","7.0","4.8","34.2","1.8","0.1","17.0","20.0","0.9","0.2","1.1",".073","0.4","-1.8","-1.3","0.1"
"Beno Udrih","SG",30,"192","39","719","MIL",0,113,238,0.475,13,49,0.265,100,189,0.529,0.502,24,33,0.727,17,61,78,138,16,2,53,39,263,"","13.6",".521",".206",".139","2.5","9.5","5.8","30.4","1.1","0.2","17.3","18.5","0.6","0.4","1.1",".070","-0.4","-1.1","-1.4","0.1"
"Beno Udrih","SG",30,"192","66","1457","2TM",9,210,476,0.441,34,102,0.333,176,374,0.471,0.477,84,103,0.816,34,107,141,302,41,3,108,90,538,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bernard James","C",27,"355","46","457","DAL",11,53,103,0.515,0,2,0,53,101,0.525,0.515,25,41,0.61,52,79,131,6,12,38,18,64,131,"","14.7",".541",".019",".398","12.9","18.9","16.0","1.9","1.3","6.5","12.9","13.9","0.5","0.7","1.2",".125","-2.4","0.7","-1.6","0.0"
"Bismack Biyombo","C",20,"240","80","2186","CHA",65,156,346,0.451,0,0,NA,156,346,0.451,0.451,74,142,0.521,194,388,582,35,28,143,82,195,386,"","10.1",".472",".000",".410","9.9","20.9","15.2","2.5","0.7","5.3","16.7","10.2","0.1","1.3","1.4",".031","-3.6","-0.8","-4.4","-1.3"
"Blake Griffin","PF",23,"17","80","2598","LAC",80,577,1072,0.538,5,28,0.179,572,1044,0.548,0.541,281,426,0.66,186,476,662,299,97,50,185,231,1440,"AS,NBA2","22.4",".572",".026",".397","8.7","21.5","15.2","19.9","2.0","1.6","12.8","25.4","6.8","3.9","10.6",".196","3.2","0.8","4.1","4.0"
"Boris Diaw","PF",30,"224","75","1709","SAS",20,179,332,0.539,30,78,0.385,149,254,0.587,0.584,47,65,0.723,66,188,254,180,52,27,84,143,435,"","11.9",".603",".235",".196","4.7","12.0","8.6","15.0","1.6","1.1","18.9","12.0","2.2","2.3","4.4",".124","-0.7","1.5","0.8","1.2"
"Bradley Beal","SG",19,"125","56","1745","WAS",46,282,687,0.41,91,236,0.386,191,451,0.424,0.477,125,159,0.786,43,168,211,137,50,29,90,113,780,"ROY-3","13.6",".515",".344",".231","2.7","10.8","6.7","13.7","1.5","1.3","10.6","22.2","1.0","2.0","3.0",".082","0.0","0.2","0.2","1.0"
"Brandan Wright","C",25,"191","64","1149","DAL",16,241,404,0.597,0,3,0,241,401,0.601,0.597,59,96,0.615,85,175,260,38,26,76,34,78,541,"","21.0",".606",".007",".238","8.4","16.7","12.6","5.6","1.2","5.2","7.1","19.0","2.8","1.3","4.1",".172","2.1","0.4","2.5","1.3"
"Brandon Bass","PF",27,"146","81","2239","BOS",69,286,589,0.486,0,2,0,286,587,0.487,0.486,129,150,0.86,129,296,425,84,44,64,80,188,701,"","12.3",".535",".003",".255","7.0","15.2","11.2","6.0","1.0","2.3","10.9","15.5","2.0","2.7","4.7",".101","-1.9","0.0","-1.9","0.1"
"Brandon Jennings","PG",23,"20","80","2897","MIL",80,497,1247,0.399,173,461,0.375,324,786,0.412,0.468,230,281,0.819,59,187,246,521,125,10,203,155,1397,"","16.1",".510",".370",".225","2.1","7.2","4.6","29.1","2.2","0.3","12.9","23.7","3.6","2.2","5.8",".096","1.7","-0.6","1.1","2.2"
"Brandon Knight","PG",21,"76","75","2365","DET",75,357,878,0.407,120,327,0.367,237,551,0.43,0.475,165,225,0.733,54,193,247,303,58,8,205,157,999,"","12.0",".511",".372",".256","2.6","9.6","6.0","21.3","1.3","0.3","17.3","22.8","0.3","0.8","1.1",".022","-0.9","-1.9","-2.8","-0.5"
"Brandon Roy","SG",28,"425","5","122","MIN",5,11,35,0.314,0,9,0,11,26,0.423,0.314,7,10,0.7,3,11,14,23,3,0,7,5,29,"","8.3",".368",".257",".286","2.7","10.6","6.6","28.8","1.3","0.0","15.1","17.0","-0.1","0.1","0.0","-0.017","-3.5","-0.8","-4.2","-0.1"
"Brandon Rush","SF",27,"441","2","25","GSW",0,6,9,0.667,0,2,0,6,7,0.857,0.667,2,3,0.667,0,1,1,2,0,0,3,5,14,"","11.9",".678",".222",".333","0.0","4.3","2.2","14.5","0.0","0.0","22.5","23.9","0.0","0.0","0.0",".051","-2.7","1.7","-1.0","0.0"
"Brendan Haywood","C",33,"305","61","1162","CHA",17,93,216,0.431,0,1,0,93,215,0.433,0.431,30,66,0.455,125,165,290,29,16,49,50,125,216,"","8.7",".441",".005",".306","12.0","16.7","14.3","3.9","0.7","3.4","16.9","11.5","-0.2","0.4","0.1",".006","-4.2","-1.8","-6.0","-1.2"
"Brian Roberts","PG",27,"187","78","1324","NOH",5,213,511,0.417,59,153,0.386,154,358,0.43,0.475,70,77,0.909,17,80,97,219,37,3,71,108,555,"","14.6",".509",".299",".151","1.5","7.3","4.4","28.2","1.5","0.2","11.5","21.6","2.0","0.2","2.2",".078","0.8","-1.4","-0.6","0.5"
"Brook Lopez","C",24,"18","74","2253","BRK",74,570,1094,0.521,0,1,0,570,1093,0.522,0.521,297,392,0.758,208,304,512,70,33,154,131,152,1437,"AS","24.7",".567",".001",".358","10.8","16.1","13.4","6.4","0.8","5.2","9.4","28.6","6.4","2.6","9.0",".191","3.4","-0.2","3.2","3.0"
"Byron Mullens","PF",23,"184","53","1428","CHA",41,217,563,0.385,66,208,0.317,151,355,0.425,0.444,64,99,0.646,71,266,337,81,34,32,74,110,564,"","12.3",".465",".369",".176","5.5","22.0","13.5","10.1","1.2","1.8","10.9","21.7","-0.6","0.7","0.1",".005","-1.4","-2.0","-3.4","-0.5"
"C.J. Miles","SF",25,"131","65","1364","CLE",13,255,614,0.415,126,328,0.384,129,286,0.451,0.518,93,107,0.869,24,150,174,63,49,17,69,138,729,"","15.3",".551",".534",".174","1.9","13.4","7.4","8.1","1.9","1.0","9.5","23.9","1.8","0.8","2.6",".092","2.0","-0.9","1.1","1.1"
"C.J. Watson","PG",28,"190","80","1521","BRK",8,192,459,0.418,88,214,0.411,104,245,0.424,0.514,71,91,0.78,38,107,145,161,66,12,69,123,543,"","13.9",".544",".466",".198","2.9","8.4","5.6","17.2","2.3","0.6","12.1","17.2","2.5","1.3","3.8",".120","0.3","0.6","0.9","1.1"
"Carl Landry","PF",29,"98","81","1876","GSW",2,325,602,0.54,1,3,0.333,324,599,0.541,0.541,223,273,0.817,180,303,483,65,35,31,115,190,874,"6MOY-8","17.5",".605",".005",".453","10.9","17.3","14.2","5.6","0.9","1.3","13.7","20.0","4.3","1.9","6.2",".159","0.5","-0.7","-0.2","0.8"
"Carlos Boozer","PF",31,"33","79","2546","CHI",79,544,1140,0.477,0,2,0,544,1138,0.478,0.477,193,264,0.731,175,596,771,179,66,28,176,239,1281,"","17.1",".510",".002",".232","7.8","27.2","17.4","13.4","1.4","0.8","12.3","25.8","1.4","4.3","5.7",".108","-0.3","0.2","-0.1","1.2"
"Carlos Delfino","SF",30,"140","67","1689","HOU",5,251,620,0.405,158,421,0.375,93,199,0.467,0.532,48,56,0.857,18,202,220,135,68,9,72,114,708,"","13.3",".549",".679",".090","1.2","13.4","7.4","12.5","2.0","0.4","10.0","18.6","2.0","1.5","3.5",".101","1.1","0.3","1.4","1.5"
"Carmelo Anthony","PF",28,"5","67","2482","NYK",67,669,1489,0.449,157,414,0.379,512,1075,0.476,0.502,425,512,0.83,134,326,460,171,52,32,175,205,1920,"MVP-3,AS,NBA2","24.8",".560",".278",".344","6.1","15.9","10.8","14.1","1.1","1.1","9.3","35.6","7.5","2.0","9.5",".184","6.0","-1.7","4.3","3.9"
"Caron Butler","SF",32,"115","78","1879","LAC",78,305,720,0.424,128,330,0.388,177,390,0.454,0.513,75,90,0.833,41,182,223,78,51,11,72,139,813,"","12.4",".535",".458",".125","2.6","11.4","7.1","6.5","1.4","0.5","8.7","20.2","1.9","1.6","3.6",".091","-0.1","-1.2","-1.3","0.3"
"Cartier Martin","SF",28,"285","41","694","WAS",3,96,252,0.381,58,146,0.397,38,106,0.358,0.496,20,28,0.714,11,89,100,20,19,6,32,58,270,"","9.7",".511",".579",".111","1.7","14.3","8.0","4.8","1.4","0.7","10.8","19.5","-0.2","0.9","0.7",".047","-1.6","-0.5","-2.1","0.0"
"Chandler Parsons","SF",24,"43","76","2758","HOU",76,456,939,0.486,152,395,0.385,304,544,0.559,0.567,113,155,0.729,79,325,404,269,75,32,147,148,1177,"","15.3",".584",".421",".165","3.3","13.2","8.3","15.6","1.4","0.9","12.7","18.3","4.9","2.1","7.0",".121","2.0","0.0","2.0","2.8"
"Charles Jenkins","PG",23,"370","12","150","PHI",1,14,38,0.368,0,0,NA,14,38,0.368,0.368,2,4,0.5,3,8,11,16,6,1,2,4,30,"","8.6",".377",".000",".105","2.2","6.2","4.1","15.7","2.1","0.5","4.8","12.8","0.0","0.1","0.1",".021","-4.2","0.2","-4.0","-0.1"
"Charles Jenkins","SG",23,"370","47","291","GSW",0,35,83,0.422,1,2,0.5,34,81,0.42,0.428,10,18,0.556,5,16,21,28,9,1,19,18,81,"","6.9",".445",".024",".217","2.0","5.9","4.0","14.4","1.6","0.3","17.3","16.9","-0.3","0.2","-0.1","-0.018","-4.8","-0.7","-5.4","-0.3"
"Charles Jenkins","SG",23,"370","59","441","2TM",1,49,121,0.405,1,2,0.5,48,119,0.403,0.409,12,22,0.545,8,24,32,44,15,2,21,22,111,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charlie Villanueva","PF",28,"212","69","1092","DET",0,175,464,0.377,90,259,0.347,85,205,0.415,0.474,27,49,0.551,49,192,241,54,31,39,39,96,467,"","14.0",".481",".558",".106","5.1","20.6","12.7","8.4","1.5","2.8","7.4","21.9","0.4","1.1","1.6",".069","0.5","-0.5","0.0","0.6"
"Chase Budinger","SF",24,"304","23","508","MIN",1,79,191,0.414,26,81,0.321,53,110,0.482,0.482,32,42,0.762,15,56,71,25,14,7,23,29,216,"","12.6",".516",".424",".220","3.3","13.0","8.0","8.3","1.4","1.1","9.9","20.5","0.3","0.4","0.7",".066","-0.6","-0.8","-1.4","0.1"
"Chauncey Billups","SG",36,"325","22","418","LAC",22,53,132,0.402,33,90,0.367,20,42,0.476,0.527,45,48,0.938,2,30,32,49,12,1,26,25,184,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Andersen","C",34,"309","42","624","MIA",0,71,123,0.577,2,3,0.667,69,120,0.575,0.585,63,93,0.677,57,115,172,17,16,44,24,89,207,"","17.4",".631",".024",".756","11.9","21.5","17.0","4.0","1.4","5.8","12.8","14.4","1.6","1.1","2.7",".207","-1.0","0.8","-0.2","0.3"
"Chris Bosh","C",28,"39","74","2454","MIA",74,485,907,0.535,21,74,0.284,464,833,0.557,0.546,241,302,0.798,131,370,501,123,66,101,128,168,1232,"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Copeland","PF",28,"207","56","862","NYK",13,182,380,0.479,59,140,0.421,123,240,0.513,0.557,63,83,0.759,34,85,119,27,16,12,50,104,486,"ROY-6","16.8",".583",".368",".218","4.5","11.9","8.1","5.7","1.0","1.2","10.7","25.3","1.5","0.6","2.1",".117","1.1","-1.6","-0.5","0.3"
"Chris Douglas-Roberts","SG",26,"433","6","63","DAL",0,5,14,0.357,0,4,0,5,10,0.5,0.357,7,10,0.7,0,5,5,4,2,0,1,4,17,"","8.3",".462",".286",".714","0.0","8.7","4.4","8.9","1.6","0.0","5.2","14.0","0.0","0.0","0.1",".041","-3.9","0.2","-3.8","0.0"
"Chris Duhon","PG",30,"354","46","820","LAL",9,47,123,0.382,33,91,0.363,14,32,0.438,0.516,6,13,0.462,11,57,68,133,20,1,40,56,133,"","8.0",".517",".740",".106","1.5","7.5","4.6","22.8","1.2","0.1","23.7","9.2","0.6","0.4","1.0",".056","-2.4","-0.5","-2.9","-0.2"
"Chris Johnson","C",27,"367","30","284","MIN",0,48,75,0.64,0,0,NA,48,75,0.64,0.64,21,34,0.618,20,40,60,8,7,28,13,49,117,"","18.4",".650",".000",".453","7.8","16.6","12.1","4.9","1.3","7.6","12.6","16.2","0.6","0.4","1.0",".176","-1.2","2.8","1.6","0.3"
"Chris Johnson","SF",22,"424","8","102","MEM",0,11,25,0.44,6,18,0.333,5,7,0.714,0.56,1,2,0.5,5,6,11,2,4,0,3,5,29,"","10.7",".560",".720",".080","5.7","7.1","6.4","3.1","2.1","0.0","10.4","13.1","0.1","0.1","0.2",".112","-0.1","0.6","0.5","0.1"
"Chris Kaman","C",30,"151","66","1363","DAL",52,313,617,0.507,0,1,0,313,616,0.508,0.507,67,85,0.788,97,275,372,51,29,52,103,141,693,"","16.3",".529",".002",".138","8.1","22.1","15.2","6.6","1.1","3.0","13.6","25.3","0.0","1.6","1.6",".058","-1.5","-0.8","-2.4","-0.1"
"Chris Paul","PG",27,"42","70","2335","LAC",70,412,856,0.481,76,232,0.328,336,624,0.538,0.526,286,323,0.885,53,209,262,678,169,10,159,143,1186,"MVP-4,DPOY-11,AS,NBA1","26.4",".594",".271",".377","2.8","10.5","6.7","46.5","3.8","0.4","13.7","22.6","10.6","3.4","13.9",".287","6.4","2.4","8.8","6.4"
"Chris Quinn","SG",29,"445","7","78","CLE",0,4,16,0.25,0,5,0,4,11,0.364,0.25,2,2,1,1,1,2,9,3,0,6,4,10,"","1.3",".296",".313",".125","1.4","1.6","1.5","16.3","2.0","0.0","26.2","13.1","-0.2","0.0","-0.2","-0.124","-7.2","-1.9","-9.2","-0.1"
