"Player","Pos","Age","Rk","G","MP","Team","GS","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"A.J. Price","PG",26,"223","57","1278","WAS",22,161,413,0.39,70,200,0.35,91,213,0.427,0.475,49,62,0.79,20,94,114,205,33,3,64,73,441,"","12.4",".501",".484",".150","1.7","8.2","4.9","26.4","1.3","0.2","12.7","18.0","1.0","1.2","2.2",".084","-0.2","-0.4","-0.6","0.5"
"Aaron Brooks","PG",28,"245","46","959","SAC",20,139,303,0.459,48,127,0.378,91,176,0.517,0.538,40,52,0.769,12,66,78,108,29,7,63,89,366,"","12.1",".562",".419",".172","1.4","8.1","4.7","17.8","1.5","0.6","16.2","18.0","0.9","0.0","0.9",".045","-0.7","-1.4","-2.1","0.0"
"Aaron Brooks","PG",28,"245","7","38","HOU",0,4,13,0.308,2,7,0.286,2,6,0.333,0.385,0,0,NA,1,1,2,6,1,3,4,5,10,"","5.6",".385",".538",".000","3.0","3.0","3.0","23.1","1.3","6.0","23.5","19.6","-0.1","0.0","0.0","-0.063","-4.1","0.1","-4.0","0.0"
"Aaron Gray","C",28,"365","42","513","TOR",16,48,90,0.533,0,0,NA,48,90,0.533,0.533,23,44,0.523,48,85,133,33,7,5,36,85,119,"","9.0",".544",".000",".489","10.9","20.0","15.4","9.9","0.7","0.8","24.8","13.1","0.2","0.4","0.5",".050","-3.9","-0.4","-4.3","-0.3"
"Al Harrington","C",32,"408","10","119","ORL",0,20,57,0.351,8,30,0.267,12,27,0.444,0.421,3,4,0.75,6,21,27,10,4,1,7,18,51,"","10.3",".434",".526",".070","5.7","19.9","12.8","13.7","1.8","0.6","10.6","25.1","-0.1","0.1","0.0","-0.012","-3.0","-1.5","-4.5","-0.1"
"Al Horford","C",26,"32","74","2756","ATL",74,576,1060,0.543,3,6,0.5,573,1054,0.544,0.545,134,208,0.644,195,562,757,240,78,78,147,163,1289,"","19.8",".560",".006",".196","8.2","23.0","15.7","15.3","1.5","2.2","11.3","21.8","4.7","4.1","8.8",".153","1.3","0.6","1.9","2.7"
"Al Jefferson","C",28,"21","78","2578","UTA",78,611,1236,0.494,2,17,0.118,609,1219,0.5,0.495,167,217,0.77,156,564,720,164,80,89,105,170,1391,"","20.9",".522",".014",".176","7.0","25.9","16.3","12.0","1.6","2.7","7.3","25.3","4.3","3.3","7.7",".143","2.2","0.1","2.4","2.8"
"Al-Farouq Aminu","SF",22,"186","76","2066","NOH",71,225,474,0.475,4,19,0.211,221,455,0.486,0.479,101,137,0.737,139,446,585,103,92,51,116,153,555,"","13.7",".519",".040",".289","7.9","26.2","16.9","7.8","2.4","2.1","17.8","14.6","0.7","2.4","3.1",".073","-1.3","1.2","-0.1","1.0"
"Alan Anderson","SF",30,"149","65","1495","TOR",2,236,616,0.383,95,285,0.333,141,331,0.426,0.46,126,147,0.857,34,114,148,103,48,7,80,131,693,"","12.6",".509",".463",".239","2.7","9.2","5.9","11.7","1.7","0.4","10.5","23.6","0.8","0.8","1.6",".052","-0.5","-1.3","-1.8","0.1"
"Alec Burks","SG",21,"219","64","1137","UTA",0,163,388,0.42,33,92,0.359,130,296,0.439,0.463,92,129,0.713,37,108,145,92,35,13,74,114,451,"","11.5",".507",".237",".332","3.8","11.2","7.5","13.0","1.6","0.9","14.3","20.7","0.3","0.7","1.0",".044","-1.9","-0.7","-2.6","-0.2"
