Player,Team,Pos,G,MP,G.1,GS,MP.1,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Lindsay Allen,CHI,G,40,950,40,28,950,104,223,0.466,14,48,0.292,90,175,0.514,42,52,0.808,13,80,157,32,7,64,67,264
Rebecca Allen,PHO,F-G,18,447,18,18,447,53,126,0.421,25,70,0.357,28,56,0.5,2,3,0.667,13,71,20,17,12,18,35,133
Aaliyah Edwards,WAS,F,34,741,34,17,741,103,210,0.49,0,7,0.0,103,203,0.507,52,80,0.65,48,191,48,25,27,50,91,258
Aari McDonald,LAS,G,26,568,26,10,568,77,191,0.403,29,91,0.319,48,100,0.48,43,51,0.843,12,52,96,23,6,48,52,226
