Player,Team,Pos,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40
A'ja Wilson,LVA,C,38,1308,34.9,0.591,0.531,0.081,0.37,7.2,19.9,14.1,2.6,6.3,5.3,32.2,119,92,7.0,3.8,10.9,0.332
Aaliyah Edwards,WAS,F,34,741,13.4,0.526,0.49,0.033,0.381,7.6,15.4,11.1,1.7,3.4,16.9,18.1,99,101,0.3,1.2,1.6,0.085
Aari McDonald,LAS,G,26,568,13.8,0.529,0.479,0.476,0.267,2.5,5.5,29.9,2.0,0.9,18.4,20.5,101,110,0.5,0.2,0.7,0.049
